!Sample_title,cd177negtreg_tumor_patient10,cd177negtreg_tumor_patient2,cd177negtreg_tumor_patient3,cd177negtreg_tumor_patient4,cd177negtreg_tumor_patient6,cd177postreg_tumor_patient10,cd177postreg_tumor_patient2,cd177postreg_tumor_patient3,cd177postreg_tumor_patient4,cd177postreg_tumor_patient6,tconv_NBP_patient2,tconv_NBP_patient3,tconv_NBP_patient4,tconv_NBP_patient7,tconv_NBP_patient8,tconv_NBP_patient9,tconv_tumor_patient1,tconv_tumor_patient10,tconv_tumor_patient2,tconv_tumor_patient3,tconv_tumor_patient4,tconv_tumor_patient5,tconv_tumor_patient6,tconv_tumor_patient8,tconv_tumor_patient9,treg_NBP_patient2,treg_NBP_patient3,treg_NBP_patient4,treg_NBP_patient7,treg_NBP_patient8,treg_NBP_patient9,treg_tumor_patient1,treg_tumor_patient5,treg_tumor_patient8,tconv_naive_PBMC_patient17,tconv_PBMC_patient17,tconv_naive_PBMC_patient18,tconv_PBMC_patient18,tconv_tumor_patient12,tconv_tumor_patient13,tconv_tumor_patient14,tconv_tumor_patient15,tconv_tumor_patient16,treg_naive_PBMC_patient17,treg_PBMC_patient17,treg_naive_PBMC_patient18,treg_PBMC_patient18,treg_naive_PBMC_patient19,treg_PBMC_patient19,treg_naive_PBMC_patient20,treg_PBMC_patient20,treg_tumor_patient14,treg_tumor_patient15,treg_tumor_patient16
!Sample_geo_accession,GSM2361351,GSM2361352,GSM2361353,GSM2361354,GSM2361355,GSM2361356,GSM2361357,GSM2361358,GSM2361359,GSM2361360,GSM2361365,GSM2361366,GSM2361367,GSM2361368,GSM2361369,GSM2361370,GSM2361371,GSM2361372,GSM2361378,GSM2361379,GSM2361380,GSM2361381,GSM2361382,GSM2361383,GSM2361384,GSM2361393,GSM2361394,GSM2361395,GSM2361396,GSM2361397,GSM2361398,GSM2361399,GSM2361403,GSM2361404,GSM2361361,GSM2361362,GSM2361363,GSM2361364,GSM2361373,GSM2361374,GSM2361375,GSM2361376,GSM2361377,GSM2361385,GSM2361386,GSM2361387,GSM2361388,GSM2361389,GSM2361390,GSM2361391,GSM2361392,GSM2361400,GSM2361401,GSM2361402
!Sample_status,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016,Public on Nov 15 2016
!Sample_submission_date,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016,Oct 27 2016
!Sample_last_update_date,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019,May 15 2019
!Sample_type,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA
!Sample_channel_count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
!Sample_source_name_ch1,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Conventional CD4 T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells,Regulatory T cells
!Sample_organism_ch1,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens
!Sample_characteristics_ch1-others,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: NBP,tissue: NBP,tissue: NBP,tissue: NBP,tissue: NBP,tissue: NBP,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: NBP,tissue: NBP,tissue: NBP,tissue: NBP,tissue: NBP,tissue: NBP,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: PBMC,tissue: PBMC,tissue: PBMC,tissue: PBMC,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor,tissue: PBMC,tissue: PBMC,tissue: PBMC,tissue: PBMC,tissue: PBMC,tissue: PBMC,tissue: PBMC,tissue: PBMC,tissue: breast tumor,tissue: breast tumor,tissue: breast tumor
!Sample_characteristics_ch1-cell_type,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Conventional CD4 T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells,cell type: Regulatory T cells
