GeneID	GSM5239695	GSM5239696	GSM5239697	GSM5239698	GSM5239699	GSM5239700	GSM5239701	GSM5239702
57453	0.04255	0.08259	0.02875	0.08269	0.05212	0.05169	0.07958	0.03249
105369515	0.2063	0.1001	0.2092	0.1003	0	0	0.07719	0
107984394	0	0	0.3089	0	0	0	0.08549	0
486	1.538	0.597	0.4157	0.5978	0.1884	0.3737	0.6903	0
100533181	2.706	1.433	1.663	0.9564	0.6029	1.495	0.7363	1.503
53826	5.702	1.903	1.084	1.905	0.7641	1.083	0.6	1.361
84000	1.53	1.136	1.155	1.05	0.3583	0.328	0.7407	1.031
3587	169.6	118.2	61.87	73.89	35.35	42.05	76.4	57.64
100526771	25.87	19.43	11.71	14.41	6.107	7.716	12.13	11.41
56649	0.06686	0	0	0	0.04095	0	0	0
105369517	0	0	0	0	0	0	0	0
6330	0.1319	0	0	0	0	0	0	0
6327	0	0	0	0.08282	0	0	0	0
120425	219.7	208.6	141.6	89.29	84.05	120.7	85.86	133.3
196264	10.61	9.477	24.41	17.77	4.948	6.929	10.29	10.44
10205	3.167	6.02	2.23	1.411	2.142	1.604	1.53	2.419
916	120.9	35.1	23.19	29.14	10.13	13.24	20.24	38.01
915	109.2	71.62	120.2	240.3	147.1	127.7	247	151.1
917	46.58	27.74	24.14	41.13	15.4	17.11	31.46	31.06
9354	42.18	41.71	30.02	31.39	13.9	18.28	20.69	42.29
100131626	14.34	22.13	15.41	16.44	7.434	11.62	11.83	17.98
10632	77.28	67.81	73.99	69.08	78.37	76.53	96.86	79.92
4297	32.65	31.79	21.26	24.75	8.302	9.879	17.95	31.03
101929089	11.45	15.6	9.233	12.11	4.923	3.54	10.07	16.57
143941	4.017	1.063	0.9872	1.065	0.8949	1.109	2.186	3.347
84866	4.116	1.475	1.883	1.723	0.6595	1.231	2.416	3.288
56912	7.078	6.977	6.394	5.275	2.067	2.807	6.091	6.666
372	48.24	43.21	25.77	31.05	15.08	19	21.52	26.96
23187	0.08052	0.07815	0.4081	0.1565	0.2343	0.4525	0.1054	0.123
102466719	0	0	0	0	0	1.598	0	4.016
11181	0.07655	0	0	0.1488	0.2814	0.279	0	0
105369519	0.68	0	0.1149	0.3304	0.1041	0.2582	0.1272	0.2596
1656	83.63	102.5	100.9	122.8	47.01	60.88	71.16	112.1
643	5.847	3.269	1.96	2.546	1.232	0.7105	2.38	2.072
283149	10.67	5.705	6.673	11.77	2.065	1.649	6.451	5.491
100616376	23.67	5.104	10.66	25.55	1.611	0	5.902	12.05
7379	0	0	0	0	0	0	0	0
283150	0.1872	0	0	0	0	0	0.07004	0
107984396	2.373	0.6581	1.833	1.318	0.2077	0.6179	2.029	1.036
338657	63.27	40.18	64.52	55.32	41.92	44.72	76.66	73.11
649946	17.39	7.008	20.85	25.51	1.809	2.791	8.348	22.56
6230	1591	1083	1425	1114	1552	1612	2554	1853
51399	18.81	14.39	16.33	25.89	15.48	19.19	22.5	19.5
2542	5.38	3.933	2.361	3.395	1.626	1.443	2.614	4.909
10525	26.73	13.89	12.7	13.41	5.361	7.595	9.998	11.46
55823	26.4	24.56	15.13	21.86	8.517	10.47	16.28	17.34
3145	3.709	2.88	1.128	0.901	1.817	1.464	0.763	1.982
3014	10.43	2.818	3.389	3.078	4.527	5.051	5.628	2.62
1798	8.442	8.379	2.852	3.17	1.998	2.856	3.588	4.395
107984397	2.325	0	1.178	0	0	0.353	0	0
9854	14.97	6.453	1.669	2.461	1.164	1.385	2.25	4.013
25988	5.005	4.111	2.081	3.461	1.268	1.462	2.845	3.602
64137	0	0	0	0	0	0	0	0
79671	7.138	3.51	0.9003	1.942	0.8453	0.7805	2.456	1.599
79849	0.6092	0.3942	0	0.2631	0	0.04112	0.1013	0.1034
283152	0.935	1.21	1.895	0.3029	0	0.568	0.3498	0.476
109623467	0	0	0	0	0	1.704	0	4.284
867	32.27	33.64	8.528	9.995	3.935	4.12	6.497	18.47
4162	7.142	5.224	1.585	2.28	0.8032	1.069	1.136	3.267
102465453	0	0	4.513	0	0	0	0	0
79102	6.047	3.668	2.043	2.057	1.389	1.561	1.81	2.886
114902	0.1065	0	0	0	0	0	0	0
83552	0.1065	0	0	0	0	0	0	0
9099	0.04914	0	0.06641	0	0	0	0	0.3002
100499227	0.182	0	0	0	0	0	0.2723	0
7070	0	0	0	0	0.02284	0	0	0
107984398	0	0	0	0	0	0	0	0
105369520	0	0	0	0	0	0	0	0
5818	2.426	1.116	0.4746	0.4964	0.1369	0.3103	0.215	0.9753
105369525	0.4099	0.1989	0.1385	0	0	0	0	0
102724301	0.8045	0	0	0	0	0	0.3009	0
105369526	0	0	0	0	0	0	0	0
105369528	0	0	0	0	0	0	0	0
105369527	0	0	0	0	0	0	0	0
105378956	0	0	0	0	0	0	0	0
23650	0	0	0	0	0	0	0	0
105369529	0	0	0	0	0	0	0	0
107984399	0	0	0	0	0	0	0	0
105369530	0	0	0	0	0	0	0	0
220323	16.46	7.041	1.257	1.627	1.88	1.525	1.322	1.847
25833	0.4261	0	0.144	0	0.02175	0	0.02656	0.05423
649133	0.3954	0	0.1336	0	0	0	0	0.151
105369531	0.09623	0	0.06503	0.09352	0	0	0	0.07349
219902	0.09787	0.09499	0	0.09511	0	0	0.1098	0
23365	3.743	4.65	3.01	14.51	1.261	1.285	4.327	2.201
2900	0	0	0	0	0	0	0	0
107984400	0	0	0	0	0	0	0	0
105369532	0	0	0	0	0	0	0	0
101929227	0	0	0	0	0	0	0	0
101929208	0	0	0	0	0	0	0	0
219899	9.09	13.41	8.422	10.03	4.109	5.184	5.048	11.22
7007	0.3252	0.2525	0.1758	0.2529	0.1594	0.05928	0.09733	0.3477
