GeneID	GSM2228986	GSM2228987	GSM2228988	GSM2228989	GSM2228990	GSM2228991	GSM2228992	GSM2228994	GSM2228995	GSM2228996	GSM2228997	GSM2228998	GSM2228999	GSM2229000
136319	122.6	22.75	19.14	161.5	15.5	17.42	86.09	15.9	114.1	21.5	18.93	50.8	16.35	23.58
105375523	0.5897	0.1084	0.04439	0.04552	0.0611	0.04954	0.5879	0.05382	0.5967	0.07577	0.03244	0.1878	0.06076	0.03152
105375524	0	0	0	0	0.119	0.0457	0	0	0	0	0.3101	0	0.02662	0
1129	0	0	0	0	0.008656	0	0	0	0	0.00336	0.01805	0	0	0
349160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
574443	0	0	0	0	0	0	0	0	0	0	0.1486	0	0	0
105375525	0	0	0	0	0	0	0	0	0	0	0.05452	0	0	0
5764	0	0	0	0	0.04891	0	0	0	0	0	0.009444	0	0	0
105375527	0	0	0	0	0	0	0	0	0	0	0.008984	0	0	0
9162	0.01305	0.004014	0.009397	0	0.02084	0.003694	0.001997	0.001694	0	0.003889	0.0383	0	0	0
64764	16.75	5.486	3.35	14.75	4.137	5.129	4.217	2.671	3.677	1.272	1.475	1.955	0.7295	1.782
100130880	3.347	0.6413	0.8041	4.797	0.3983	1.107	1.56	0.4411	0.5687	0.03682	0.2802	0.1908	0.05094	0.09607
6718	0	0	0	0	0.01223	0	0	0	0	0.003958	0.03543	0	0	0
100616226	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107986749	0	0	0	0	0.01944	0	0	0	0	0	0.05912	0	0	0
8805	4.74	1.271	0.7262	7.828	0.9646	0.952	9.163	1.51	11.66	2.225	2.264	7.526	2.331	4.019
136306	0.08514	0.02245	0.02021	0.08584	0.03137	0.03787	0.1731	0.01421	0.06107	0.01087	0.05451	0.04958	0.01805	0
50617	0	0	0.004957	0.01053	0.03023	0	0	0	0	0.008001	0.02388	0	0.00246	0
155006	0	0	0	0	0.009452	0	0	0	0	0	0.02053	0	0.002115	0
57670	0.002332	0	0.003875	0.1152	0.02492	0	0.03212	0.004541	0.007025	0.02502	0.05375	0.003457	0.01307	0.01886
92092	0.275	0.1874	0.08931	0.4411	0.1658	0.09553	0.528	0.03408	0.4268	0.08939	0.1461	0.3891	0.1031	0.1127
107986852	0	0.3323	0.07977	0	0.1327	0.1699	0.1102	0.02337	0.1808	0.1073	0.2113	0	0.05937	0
56829	26.69	8.048	5.702	33.31	4.316	3.929	40.33	10.73	44.63	13.46	10.73	29.19	9.382	15.67
