GeneID	GSM2599707	GSM2599708	GSM2599709	GSM2599710
100287102	0.5034	0.4685	0.4817	0.2756
653635	7.874	6.038	10.8	12.01
102466751	21.4	20.49	32.18	33.48
107985730	1.159	0.5755	0.3698	0
100302278	0	0	0	0
645520	0	0	0	0
79501	0	0	0	0
100996442	3.101	2.182	4.797	4.683
729737	2.051	1.753	7.96	8.401
102725121	0.2587	0.289	0.1238	0.09444
102723897	8.5	6.944	10.96	12.15
102465909	24.46	25.04	23.41	22.32
107985721	0.7683	0.4576	0.147	0.05608
112268260	0.2207	0.09392	0.1207	0.09208
729759	0	0	0	0
100132287	2.902	2.834	7.102	7.154
105378947	0	0	0	0
101928626	0	0	0	0
113219467	1.016e+04	1.067e+04	7061	6646
81399	0.2518	0.1607	0.1377	0.1575
100133331	5.255	4.963	12.62	12.22
107984841	12.12	7.69	19.77	17.21
107984847	12	6.703	20.51	17.84
107984849	8.91	6.081	11.37	8.672
100288069	8.795	7.113	17.41	14.83
105378580	0.9306	0.7231	2.052	1.949
400728	1.818	0.9555	2.047	1.874
79854	0.9471	0.8228	1.813	1.383
643837	0.5854	0.4191	2.392	2.614
107984850	0	0.06308	0	0.06184
284593	0.3656	0.09074	0.4665	0.5338
284600	0.05389	0	0	0
100130417	0	0	0.2642	0.4031
107985728	0	0	0.05457	0.08325
148398	0.7317	0.8475	1.478	1.959
26155	14.1	13.42	17.1	18.11
339451	0.5075	0.5196	1.7	2.918
84069	0.05191	0.0773	0.7451	0.6821
84808	0.05751	0.04282	0.1651	0.08396
57801	0	0	0.3109	0
9636	0	0	1.249	1.191
375790	0.8953	0.6857	17.38	21.94
100288175	0.2134	0.3179	20.02	20.1
112267874	0	0.05727	4.048	3.481
105378948	0.1424	0.159	6.677	6.133
401934	0	0	0.3141	0.2396
54991	1.71	0.8275	1.963	2.496
254099	0	0	0	0
406984	0	0	0	0
406983	0	0	0	0
554210	0	0	0	0
100506376	0	0	0	0.03634
254173	0	0	0.04631	0
8784	0	0	0	0.1235
7293	0	0	0.0542	0.08268
51150	8.632	7.911	27.42	32.85
126792	5.114	4.249	6.313	6.33
388581	0	0.1183	0	0.1159
118424	4.266	3.962	6.009	6.439
101928895	0.4977	0.5558	0.4763	0.5449
6339	0.06807	0.1521	0.1954	0.2982
116983	1.724	1.634	2.1	2.769
102465434	3.408	0	0	0
109623456	2.475	1.843	2.368	1.807
126789	1.178	0.3289	1.409	1.182
54973	11.78	9.185	17.25	19.11
102465435	0	0	3.061	2.335
80772	0.06836	0.6108	0.7851	0.7985
83756	0	0.1717	0.3309	0.5891
1855	0.5597	0.6946	4.166	4.404
102466740	0	0	0	2.572
54587	1.03	1.151	1.397	1.693
54998	4.343	3.964	4.558	6.75
81669	62.22	49.1	67.41	66.37
148413	11.89	11.87	6.943	6.512
55052	44.17	41.03	39.79	38.78
107984868	0.05394	0.08033	0	0
441869	0	0	0.05957	0.04544
105378585	0	0	0	0
643965	0	0	0	0
102724312	0	0	0	0
107985729	0	0	0	0
64856	0	0	0	0
219293	0.0538	0.08012	0.1545	0.1178
83858	2.753	2.025	4.063	4.382
55210	2.45	2.951	5.724	6.313
339453	0	0	0.1441	0.1099
29101	22.34	22.42	38.27	25.29
643988	0.1958	0	0.281	0.2144
105378586	0.3635	1.082	1.043	1.592
142678	0.6221	0.8465	1.499	2.286
8510	0.07521	0.112	0.4319	0.3294
984	17.82	15.75	15.37	16.63
728661	8.005	6.23	11.03	10.72
8511	0.2295	0	0.6588	0.5025
728642	28.22	26.24	28.44	27.87
9906	8.661	8.019	10.55	10.07
112268218	1.944	1.6	1.762	2.689
65220	6.369	4.925	7.58	7.958
2782	31.89	27.34	59.73	53.43
105378949	0.5657	0.2106	0.9474	0.6194
163688	0.5556	0.06895	0.709	0.5408
339456	0	0.1656	0	0
85452	0	0	0	0.02051
107984872	0	0	0	0
105378589	0	0	0.0419	0.03196
2563	0	0	0.07763	0.148
105378590	0	0	0	0
105378591	0	0	0	0
5590	0.6791	0.7164	0.5687	0.4751
100506504	1.161	0.8648	0.7939	0.969
199990	0.8481	0.6907	0.6341	0.9287
112268219	0.467	0.6375	1.788	1.307
105378593	0	0.3003	0.193	0.1472
6497	8.702	6.494	3.346	3.307
79906	0.5698	0.7987	0.8341	0.6852
100129534	2.404	2.066	2.036	2.025
11079	17.51	14.26	29.11	28.07
5192	1.601	1.267	2.778	2.557
9651	0	0	0	0.03824
55229	1.299	0.9671	1.953	2.269
388585	0	0	0	0
115110	0.7201	0.6367	2.283	2.76
8764	2.007	1.495	3.633	4.492
100996583	0.2978	0.6653	0.8551	0.4349
127281	1.654	1.767	2.822	2.152
79258	0.06256	0.04658	0.05987	0.09134
105378597	0.198	0	0.379	1.156
100287898	0.05873	0.08746	0.2529	0.15
105378603	0	0	0	0
105378602	0	0	0	0
105378601	0	0	0	0
112268220	0	0	0	0
107985732	0	0	0	0
105378600	0	0	0	0
105378598	0	0.033	0	0
107984904	0	0	0	0
105378599	0	0	0	0
140625	0	0	0	0
440556	0	0	0	0
63976	0	0	0	0
100422968	0	0	0	0
105378606	0	0	0	0
107984909	0	0	0	0
105378605	0	0	0	0
105378604	0	0	0	0
27237	0.05235	0.1559	0.5511	0.3057
1953	5.062	4.538	6.544	5.57
105378608	0	0	0	0
693135	0	0	0	0
