GeneID	GSM2202553	GSM2202554	GSM2202555	GSM2202556	GSM2202557	GSM2202558	GSM2202559	GSM2202560	GSM2202561	GSM2202562	GSM2202563	GSM2202564	GSM2202565	GSM2202566	GSM2202567	GSM2202568	GSM2202569	GSM2202570	GSM2202571	GSM2202572	GSM2202573
11094	0.8963	1.139	1.384	1.68	1.745	1.611	1.254	1.798	1.096	1.026	0.7122	2.391	1.73	1.534	1.462	2.623	1.347	1.643	1.669	1.527	3.293
11182	3.128	2.912	1.45	3.729	8.985	3.342	3.328	2.963	1.884	2.199	0.9148	2.047	10.82	2.588	2.262	2.906	2.748	1.568	3.82	4.333	3.859
102723855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1524	0	0	0	0	0
389827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9719	0.0356	0.6957	0.3423	0.7403	0.1004	0.8706	0.5473	0.4404	0.2189	0.2336	0.7175	0.4595	0.1625	0.4682	0.8033	1.017	0.1818	0.5534	0.3877	0.5892	0.6146
642968	0.06628	0.1304	0	0	0	0	0	0	0	0	0	0	0	0.02682	0	0	0	0	0	0	0.01956
1621	1.867	3.045	3.384	3.763	4.738	3.945	3.268	2.691	2.688	3.033	5.699	9.052	3.589	8.653	7.454	15.74	8.087	6.177	5.282	5.104	7.812
138948	4.949	9.585	5.423	4.354	5.903	6.743	7.759	9.527	4.393	5.374	15.16	19.99	8.634	17.37	15.8	31.41	16.26	11.55	12.2	10.79	14.98
1757	3.469	4.448	3.671	2.983	5.257	3.866	3.982	3.405	2.958	3.36	5.225	9.048	3.767	6.614	6.038	10.63	5.924	4.64	5.343	3.868	7.392
105376308	1.848	1.802	1.311	2.424	1.331	4.524	3.44	1.422	1.451	2.288	4.179	3.776	2.262	3.206	3.395	5.489	4.217	2.799	2.866	2.358	4.224
7410	0.7921	0.9842	0.8817	1.247	1.347	1.372	0.553	1.096	0.2009	0.9587	0.9838	0.9693	2.032	0.9958	0.902	1.113	1.209	0.6922	1.66	1.947	2.016
266655	3.254	5.708	5.746	4.501	7.231	6.554	6.831	5.819	5.708	5.988	6.127	10.7	7.877	9.729	10.86	9.928	7.21	9.358	10.54	8.866	9.13
8019	6.287	6.614	9.423	9.007	7.487	8.377	8.455	7.824	5.936	7.056	9.592	15.8	13.87	16.29	14.46	15.34	10.76	11.44	16.25	9.702	15.16
100130548	0.06127	0.7966	0.1885	0.07193	1.534	0.286	0.5456	0.513	0.5343	0	0.1571	0.3416	0.3021	0.29	0.4327	0.5845	0.8044	0.2406	0.4926	0.2755	0
11091	11.72	11.83	17.78	20.53	18.23	16.24	18.82	18.37	12.32	11.5	18.33	26.24	23.92	27.01	26.84	31.01	24.04	20.76	24.07	20.84	26.18
100151684	0	6.62	2.389	4.861	0	0	0	0	0	14.17	0	0	0	0	0.4062	1.463	0	0.5081	2.081	0.3878	0
107987137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01087	0	0.007553	0	0	0
101928384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107987039	0.1364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6256	1.682	1.345	1.993	4.026	9.099	2.845	2.444	2.476	1.265	3.366	2.248	3.855	14.24	4.553	4.468	4.74	3.31	3.608	6.228	4.029	5.207
100616236	0	0	0	0	0	6.958	3.982	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376311	0.09623	0.07101	0.06643	0.3585	0.1002	0	0.03531	0.169	0	0	0.1898	0.09171	0.06083	0.1947	0.2614	0.68	0.2268	0.1635	0.093	0.1525	0.08519
100506532	0	0	0.009769	0	0	0	0	0	0	0	0	0	0	0	0	0.04039	0	0.0187	0	0	0
1289	0.07671	0.1584	0.08912	0.2252	0.2475	0.1878	0.122	0.2144	0.09649	0.1354	0.2152	0.2822	0.7682	0.3089	0.348	0.2668	0.2675	0.3353	0.247	0.247	0.423
414316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1361	0	0	0	0	0
101448202	0	0	0	0	0.05063	0.1496	0	0	0	0	0	0	0.2458	0.1574	0.0587	0.1586	0.06547	0.07342	0	0.05605	0.1148
100616333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100500846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100616131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100500906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100616344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100616460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100616212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2220	0	0	0	0	0.2073	0	0	0	0	0	0.1326	0	0.07627	0	0	0	0	0	0	0	0
2219	14.25	2.526	0.5247	21.84	119.7	3.343	4.024	5.653	2.339	9.705	1.2	2.239	136	2.242	1.934	1.332	1.239	1.281	8.432	3.163	4.998
105376314	0	0	0.06533	0	0.2443	0.1628	0	0	0.08546	0	0	0	0.1745	0.02234	0	0	0.009293	0	0.01067	0	0
105376313	0	0	0	0	0	0	0	0	0	0	0	0	0.08967	0	0	0	0	0	0	0	0.0314
10439	0.05045	0	0	0	0.09756	0	0.1031	0	0	0	0	0	0.07895	0.0379	0	0.01273	0.01577	0	0.05432	0.054	0.1106
102723948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
401557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107987138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100506599	0.1944	0	0.07931	0	0.08974	0.2357	0.2389	0.3868	0.07411	0.1059	0.1133	0.4654	0.3631	0.9762	0.2254	0.2654	0.3481	0.2386	0.4219	0.4139	0.2373
9858	0.379	0.1548	0.6276	0.6814	0.962	0.6845	0.673	0.4808	0.5456	1.297	0.4976	1.487	1.315	2.193	0.6072	0.7532	0.9261	0.3875	2.016	1.118	1.09
138162	0.8051	0	0.6881	0.3376	0	0.1917	0.5487	0	0	0	0.7023	0.5937	0.315	0.3025	0.677	0.6773	1.007	0.7527	0.867	0.4309	0.2941
51116	12.13	12.78	16.69	15.58	15.26	16.46	18.68	17.32	13.47	16.77	17.22	24.27	19.41	23.62	24.95	24.94	23.56	18.12	23.18	19.14	21.94
101928525	7.113	8.692	8.702	7.378	11.17	9.385	12.05	10.67	7.499	7.929	8.276	12.84	11.3	13.59	13.77	15.55	11.26	9.495	12.87	10.89	12.62
3933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02974	0
