!Sample_title,CL_mono_1,CL_mono_2,CL_mono_3,CL_mono_4,CL_mono_5,DC2_blood_1,DC2_blood_2,DC2_blood_3,INT_mono_1,INT_mono_2,INT_mono_3,NC_mono_1,NC_mono_2,NC_mono_3,slan_plus_mono_1,slan_plus_mono_2,slan_plus_mono_3,slan_plus_mono_4,slan_plus_mono_5,TDCM_slan_plus_mono_1,TDCM_slan_plus_mono_2,TDCM_slan_plus_mono_3,DC2_tonsil_1,DC2_tonsil_2,DC2_tonsil_3,MΦ_tonsil_1,MΦ_tonsil_2,MΦ_tonsil_3,slan_plus_tonsil_1,slan_plus_tonsil_2,slan_plus_tonsil_3
!Sample_geo_accession,GSM4041235,GSM4041236,GSM4041237,GSM4041238,GSM4041239,GSM4041240,GSM4041241,GSM4041242,GSM4041243,GSM4041244,GSM4041245,GSM4041246,GSM4041247,GSM4041248,GSM4041249,GSM4041250,GSM4041251,GSM4041252,GSM4041253,GSM4041254,GSM4041255,GSM4041256,GSM4041257,GSM4041258,GSM4041259,GSM4041260,GSM4041261,GSM4041262,GSM4041263,GSM4041264,GSM4041265
!Sample_status,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021,Public on Nov 19 2021
!Sample_submission_date,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019,Aug 21 2019
!Sample_last_update_date,Jan 03 2024,Jan 03 2024,Jan 03 2024,Nov 20 2021,Nov 20 2021,Nov 20 2021,Nov 20 2021,Nov 20 2021,Jan 03 2024,Jan 03 2024,Jan 03 2024,Jan 03 2024,Jan 03 2024,Jan 03 2024,Nov 20 2021,Nov 20 2021,Nov 20 2021,Nov 20 2021,Nov 20 2021,Nov 20 2021,Nov 20 2021,Nov 20 2021,Nov 20 2021,Nov 20 2021,Nov 20 2021,Nov 20 2021,Nov 20 2021,Nov 20 2021,Nov 20 2021,Nov 20 2021,Nov 20 2021
!Sample_type,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA
!Sample_channel_count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
!Sample_source_name_ch1,Blood,Blood,Blood,Blood,Blood,Blood,Blood,Blood,Blood,Blood,Blood,Blood,Blood,Blood,Blood,Blood+N8,Blood,Blood,Blood,Blood,Blood,Blood,Tonsil,Tonsil,Tonsil,Tonsil,Tonsil,Tonsil,Tonsil,Tonsil,Tonsil
!Sample_organism_ch1,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens
!Sample_characteristics_ch1,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: tonsil-derived conditioned medium,treatment: tonsil-derived conditioned medium,treatment: tonsil-derived conditioned medium,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells,treatment: Freshly isolated cells
!Sample_characteristics_ch1-response,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: blood,tissue: tonsil,tissue: tonsil,tissue: tonsil,tissue: tonsil,tissue: tonsil,tissue: tonsil,tissue: tonsil,tissue: tonsil,tissue: tonsil
