GeneID	GSM7173739	GSM7173740	GSM7173741	GSM7173742	GSM7173743	GSM7173744	GSM7173745	GSM7173746	GSM7173747
100287102	0.3252	0.5083	0.4259	0.376	0.2216	0.4824	0.4946	0.3367	0.4301
653635	2.177	2.176	2.264	1.906	1.78	2.365	2.31	2.156	2.46
102466751	0	0	0	0	0	0	0	0	0
107985730	0.1664	0	0.2012	0	0	0	0.1519	0	0
100302278	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0
100996442	0.0183	0.0143	0.03318	0.03626	0.05985	0.01357	0.0167	0	0.05445
729737	0.1145	0.2685	0.2076	0.2431	0.1204	0.3155	0.2687	0.2177	0.1785
102725121	0.1114	0.04355	0.03368	0.05521	0.04557	0.04133	0.1017	0.04944	0.1105
102723897	2.339	3.06	3.381	4.988	3.618	5.167	4.315	4.467	4.792
102465909	0	0	0	0	0	0	0	0	0
107985721	0.06619	0.02586	0.04001	0.03279	0.02706	0.02454	0.1812	0	0.03282
112268260	0.01358	0.02123	0.01642	0.01346	0.03332	0.01007	0.03718	0.0241	0.05389
729759	0	0	0	0	0	0	0	0	0
100132287	0.2869	0.4003	0.3468	0.2843	0.1676	0.1672	0.2618	0.2363	0.0813
105378947	0	0	0	0	0	0	0.1046	0	0
101928626	0	0	0	0	0	0	0	0	0
113219467	1.918e+04	1.473e+04	1.759e+04	9093	8503	1.48e+04	1.206e+04	9827	1.057e+04
81399	0	0	0.009365	0.01535	0	0	0.02827	0.01375	0.01537
100133331	0.2934	0.4258	0.3547	0.2699	0.1714	0.2021	0.2868	0.2789	0.06236
107984841	0	0	0.05845	0.09582	0	0	0	0	0
107984847	0	0	0.1116	0	0	0	0	0	0
107984849	0	0	0	0	0	0	0	0	0
100288069	0.06532	0.1531	0.03948	0.1294	0.05341	0.09689	0.1192	0	0.3239
105378580	0.3486	0.395	0.2107	0.6044	0.4988	0.4266	0.493	0.3093	0.5359
400728	0.1382	0.036	0.05569	0.1369	0	0.03416	0.1261	0.08174	0
79854	0.408	0.5845	0.411	0.3369	0.4448	0.353	0.2482	0.7239	0.5395
643837	0.4267	0.576	0.7035	0.6631	0.3728	0.5683	0.5399	0.9465	0.4618
107984850	0	0	0	0	0.2984	0	0	0.03238	0
284593	0	0	0	0	0	0	0	0.04657	0
284600	0	0	0	0	0	0	0	0	0.06907
100130417	0.1189	0	0	0	0	0	0	0	0
107985728	0	0	0	0	0	0	0	0	0
148398	8.02	7.909	9.229	5.483	4.353	5.792	4.762	4.785	3.752
26155	7.568	7.589	9.051	5.278	4.197	5.42	4.564	4.668	3.512
339451	0.7378	0.662	0.8424	0.08123	0.08939	0.1621	0.07481	0.3394	0.3253
84069	0	0.1048	0.05406	0.1772	0.05485	0.1492	0.1428	0.119	0.1331
84808	0	0	0	0	0	0.07349	0.0226	0.04396	0.04914
57801	0	0	0.02819	0.2773	0.2288	0.4843	0.5107	0.08276	0.4164
9636	26.85	30.21	23.37	818.3	862.1	800.8	346.1	400	420.4
375790	1.477	1.223	1.292	2.074	1.307	3.334	1.207	1.183	0.8743
100288175	0.4597	0.1437	0.3334	2.186	1.804	2.318	2.601	1.795	2.736
112267874	0.03313	0.05178	0	0	0	0.04914	0	0	0
105378948	0.1533	0.09586	0.1112	0.7293	0.6019	0.7733	0.8675	0.5986	0.9126
401934	0	0	0	0	0	0	0	0	0
54991	1.289	1.698	1.269	1.386	1.566	1.174	1.008	1.764	1.826
254099	0	0	0	0.05477	0	0	0	0	0
406984	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0
100506376	0	0	0	0.0425	0	0	0.03913	0	0
254173	0	0	0	0	0	0	0	0	0.04135
8784	0	0	0	0	0	0	0	0.06467	0
7293	0.04879	0	0	0.02417	0	0	0	0	0
51150	85.79	83.96	86.31	61.39	57.49	69.35	55.93	54.78	43.76
126792	30.68	29.74	31.55	29.58	33.18	35.09	27.21	29.57	29.92
388581	0	0.1604	0	0	0.05594	0	0	0	0
118424	26.51	24.77	25.43	37.4	36.03	38.93	35.03	34.7	30.84
101928895	0	0.04188	0.03239	0	0	0	0.0489	0	0.05315
6339	0.5278	0.4124	0.8862	0.3196	0.6714	0.1087	0.02676	0.1821	0.2618
116983	0.216	0.4643	0.2122	0.09365	0.1656	0.04006	0.1602	0.1438	0.1607
102465434	0	0	0	0	0	0	0	0	0
109623456	0	0	0	0	0	0	0	0	0
126789	8.625	9.069	9.507	9.112	9.335	9.643	11	9.791	9.75
54973	6.915	8.252	9.615	9.855	11.28	7.958	7.335	7.767	8.413
102465435	0	0	0	0	0	0	0	0	0
80772	5.271	6.167	7.387	10.24	9.223	10.05	8.357	7.55	7.302
83756	1.837	2.309	2.866	2.583	1.868	3.406	2.401	2.401	2.216
1855	4.366	6.259	7.189	5.76	5.586	7.708	5.744	4.943	5.048
102466740	0	0	0	0	0	0	0	0	0
54587	0.07398	0.1156	0.1565	0.1649	0	0.02743	0.135	0.04923	0.1468
54998	100.5	103	102.3	115.9	123.4	118.4	119	121.3	118.1
81669	5.326	8.626	6.579	4.088	4.519	4.989	2.936	3.797	2.764
148413	60.45	63.13	62.61	72.44	64.35	68.66	63.81	61.09	67.23
55052	169.8	165.3	165.5	179	179.3	168	167.7	163	183.5
107984868	0	0	0	0	0	0	0	0	0
441869	0	0	0.04862	0	0	0	0	0	0
105378585	0	0	0	0	0	0	0	0	0
643965	0	0	0	0	0	0	0	0	0
102724312	0	0	0	0	0	0	0	0	0
107985729	0	0	0	0	0	0	0	0	0
64856	0.07974	0.07789	0.01205	0.03951	0.04891	0.1922	0.2365	0.1238	0.05932
219293	0.02318	0.01811	0.02802	0	0	0	0.02115	0.06168	0
83858	0.1714	0.6922	0.1986	0.3539	0.08178	0.2225	0.6518	0.1775	0.1559
55210	6.798	5.433	7.204	3.383	3.021	3.729	3.286	3.883	2.925
339453	0	0	0.1176	0	0	0	0	0	0
29101	49.03	52.65	49.03	86.86	88.06	103.7	73.25	75.49	77.41
643988	6.956	8.072	8.486	3.426	2.655	3.94	5.04	2.469	3.889
105378586	0	0.734	0.3785	0	0.128	0.2322	0.1429	0	0
142678	1.488	1.227	1.229	1.913	1.896	2.104	1.4	1.164	1.091
8510	1.166	1.443	1.175	1.348	0.9273	1.61	1.33	1.15	0.9962
984	7.717	9.944	9.342	7.647	6.965	6.926	6.106	6.701	5.741
728661	3.15	3.069	3.173	2.659	2.862	1.721	2.259	2.185	2.469
8511	0	0.07724	0.6572	0.1959	0.08083	0.4398	0.2706	0.1754	0.09804
728642	6.312	9.2	7.276	7.215	5.594	7.73	5.278	6.095	5.358
9906	20.58	19.95	21.8	18.26	18.74	18.95	14.55	14.25	14.41
112268218	5.376	5.338	5.168	9.17	8.145	8.727	7.359	6.295	7.518
65220	4.256	4.824	4.029	8.329	7.766	8.061	7.911	7.193	8.059
2782	113.6	118.7	120.1	179.4	176.1	177.7	154.4	164.7	148
