GeneID	GSM3591825	GSM3591826	GSM3591827	GSM3591828	GSM3591829	GSM3591830	GSM3591831	GSM3591832	GSM3591833	GSM3591834
105378142	0	0	0	0	0	0	0	0	0	0
105378143	0	0	0	0	0	0	0	0	0	0
107986550	0	0	0	0	0	0	0	0	0	0
105378144	0	0	0	0	0	0	0	0	0	0
107986551	0	0	0	0	0	0	0	0	0	0
105378146	0	0	0.02914	0	0	0	0	0	0	0.05622
105378145	0	0	0	0	0	0	0	0	0	0.1895
101929460	0	0	0	0	0	0	0	0	0	0
102724357	0	0	0	0	0	0	0	0	0	0.1577
101929484	0	0	0	0	0	0	0	0	0	0
101929504	0	0	0	0	0	0	0	0	0	0
101929523	0.3709	0.2388	0.8309	0.6237	0.3914	0.4434	0.5239	0.6807	0.1353	0.668
7058	0.03683	0.1245	0.1083	0.07226	0.06802	0.02568	0.05058	0.1893	0.07642	0.02322
105378148	0	0	0	0	0	0	0	0	0	0
105378147	0	0.008639	0.01879	0.01505	0	0.01783	0.05265	0	0	0
253769	1.26	2.423	3.908	2.913	2.047	1.59	2.357	5.031	3.053	3.247
387263	12.3	18.31	16.96	23.14	21.18	15.38	17.11	25.48	31.15	23.93
55274	18.47	25.56	32.04	36.61	27.6	22.93	31.35	41.8	48.29	39.16
6991	5.001	4.345	5.019	6.342	4.064	4.668	5.055	5.448	5.185	3.834
55780	12.83	15.91	19.15	16.27	16.83	11.73	16.11	23.91	19.18	19.58
401288	0.02239	0.02018	0	0.05273	0.08272	0.1041	0.0246	0.2877	0.2002	0.1412
80069	0.04221	0.05706	0.04137	0.06625	0.07795	0.01962	0.02318	0.1084	0	0.02661
105378149	0	0	0	0.07535	0	0	0	0	0	0
107986674	0	0	0.01889	0.007563	0	0	0	0	0.05537	0.03645
107986675	0	0.00838	0.01823	0.06567	0	0.02594	0.05107	0.09556	0.08904	0.1758
100131532	0.01907	0.05157	0.1122	0.1497	0	0.08867	0.08382	0.2941	0.06089	0.5531
102724475	0	0.01272	0	0.06647	0	0.01313	0.04652	0.1088	0.09913	0.1246
105378150	0	0	0	0	0	0	0	0	0	0
101929614	0.01629	0	0	0	0.06016	0.1363	0.1252	0.04185	0	0.02053
105378153	0.1321	0.06802	0	0	0	0.1579	0.1658	0.04848	0	0
102724511	0	0	0	0	0	0	0	0	0	0
154449	0	0	0	0	0	0	0	0	0	0.05133
285804	0.02773	0	0.05435	0.7181	0	0.07734	0.09138	0.2137	0.5841	0.6292
401289	0.06731	0.0455	1.385	1.677	0.2486	0.1408	0	1.902	2.761	1.252
28514	0.1717	0.2579	0.7292	0.9768	0.3699	0.6385	0.9745	2.095	2.722	3.247
84498	3.205	4.956	9.239	9.809	10.23	3.77	4.837	12.14	12.47	12.99
112267971	0.1425	0.685	0.1862	0.1864	0	0.3092	0.1566	0.4882	0.2729	0.4791
100616430	1.934	2.324	3.791	7.589	19.05	0.5994	2.125	16.56	12.76	10.57
107986676	0	0	0	0	0.635	0	0	0	0	0.03612
105378161	0	0	0	0	0	0	0.03872	0	0	0
105378157	0	0.01286	0	0	0.05271	0.01327	0.03135	0	0	0.2519
5689	284.8	282.6	76.49	76.6	88	284	306.1	76.05	74.77	80.76
6908	18.29	28.58	18.73	18.66	18.49	19.41	24.9	20.02	19.63	18.79
5134	29.63	41.78	18.35	25.58	24.96	30.27	37.21	21.15	26.84	22.41
107986677	0.1785	0.2298	0.6497	0.6203	0.6592	0.09482	0.14	0.3931	0.4232	0.4822
107986678	0.1874	0.1689	0	0	0	0.1742	0.2058	0	0	0.2362
101929692	0.09839	0.2069	0	0.02574	0	0.09149	0.1441	0.1686	0.08376	0.1241
102723872	0.22	0.09916	0.7333	0.6735	0.3251	0.2864	0.3384	0.6785	0.3793	0.5271
105375112	0	0.04283	0.04658	0.03729	0	0	0	0	0.01517	0.02996
107986751	0	0	0	0.05108	0	0	0	0	0	0
105375113	0	0	0	0	0	0	0	0	0	0
101929756	0	0	0	0	0	0	0	0	0	0
105375114	0	0	0.01756	0	0	0	0	0	0	0
102723672	0.6709	0.9502	2.255	0.6017	2.124	0.802	1.053	3.201	1.591	1.692
100507642	0.8189	2.611	0.247	1.203	3.8	1.464	1.638	0.8632	1.434	1.668
105375115	0	0	0	0	0	0	0	0	0	0
105375116	0	0	0	0	0	0	0	0	0	0
56975	0	0.36	0.189	0.05946	0.3053	0	0	0.1062	0.06156	0.1216
100288524	0	0	0	0	0	0	0	0	0	0
105375118	0	0	0	0.02042	0	0	0	0	0.03323	0
442497	0	0	0.2834	0.07565	0	0.02241	0	0.8669	0.1385	0
5154	1.021	5.523	0.09535	0.0509	0.05989	0.9497	3.58	0.125	0.0414	0.1431
441307	0.04633	0.1253	0.06055	0.01212	0.1141	0.01436	0.06787	0.03969	0	0.03895
5575	4.848	14.2	3.126	6.801	2.796	7.802	21.48	3.228	10.03	8.935
101927000	0.09467	0.256	0	0.0743	0	0.176	0	0.4865	0.1813	0.1194
101926963	5.704	7.488	2.107	1.946	4.123	5.996	7.992	4.249	1.9	4.795
105375119	0.3347	0.4358	0	0.2043	0	0.3458	1.92	0.3823	0.6886	0.1876
