!Sample_title,A1,A4,A7,A8,A10,A13,A14,A17,A18,A20,A23,A26,A33,A35,A36,A37,B5,B8,B9,B11,B12,B16,B20,B22,B24,B28,B30,B31,B32,B35,B38,C2,C4,C8,C11,C14,C16,C21,C22,D1,D2,D5,D8,D9
!Sample_geo_accession,GSM3475795,GSM3475796,GSM3475797,GSM3475798,GSM3475799,GSM3475800,GSM3475801,GSM3475802,GSM3475803,GSM3475804,GSM3475805,GSM3475806,GSM3475807,GSM3475808,GSM3475809,GSM3475810,GSM3475811,GSM3475812,GSM3475813,GSM3475814,GSM3475815,GSM3475816,GSM3475817,GSM3475818,GSM3475819,GSM3475820,GSM3475821,GSM3475822,GSM3475823,GSM3475824,GSM3475825,GSM3475826,GSM3475827,GSM3475828,GSM3475829,GSM3475830,GSM3475831,GSM3475832,GSM3475833,GSM3475834,GSM3475835,GSM3475836,GSM3475837,GSM3475838
!Sample_status,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019,Public on Jul 12 2019
!Sample_submission_date,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018,Nov 16 2018
!Sample_last_update_date,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019,Jul 14 2019
!Sample_type,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA
!Sample_channel_count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
!Sample_source_name_ch1-cell_type,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell,CD4+ T cell
!Sample_organism_ch1,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens
!Sample_characteristics_ch1,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis,disease: Rheumatoid Arthritis
!Sample_characteristics_ch1,cd4+ t cell purity (percent): 99.5,cd4+ t cell purity (percent): 99.3,cd4+ t cell purity (percent): 95.8,cd4+ t cell purity (percent): 99.2,cd4+ t cell purity (percent): 98.9,cd4+ t cell purity (percent): 99.3,cd4+ t cell purity (percent): 98.8,cd4+ t cell purity (percent): 97.7,cd4+ t cell purity (percent): 99,cd4+ t cell purity (percent): 98.3,cd4+ t cell purity (percent): 99.5,cd4+ t cell purity (percent): 96.9,cd4+ t cell purity (percent): 98.3,cd4+ t cell purity (percent): 97.9,cd4+ t cell purity (percent): 96.9,cd4+ t cell purity (percent): 98.9,cd4+ t cell purity (percent): 99.7,cd4+ t cell purity (percent): 99.3,cd4+ t cell purity (percent): 98.3,cd4+ t cell purity (percent): 97.4,cd4+ t cell purity (percent): 99.3,cd4+ t cell purity (percent): 99.5,cd4+ t cell purity (percent): 99.1,cd4+ t cell purity (percent): 98.5,cd4+ t cell purity (percent): 99.3,cd4+ t cell purity (percent): 99.5,cd4+ t cell purity (percent): 98.7,cd4+ t cell purity (percent): 99.5,cd4+ t cell purity (percent): 98.4,cd4+ t cell purity (percent): 99.5,cd4+ t cell purity (percent): 99.5,cd4+ t cell purity (percent): 98.8,cd4+ t cell purity (percent): 99.1,cd4+ t cell purity (percent): 99.4,cd4+ t cell purity (percent): 99.3,cd4+ t cell purity (percent): 96.5,cd4+ t cell purity (percent): 98.4,cd4+ t cell purity (percent): 98.2,cd4+ t cell purity (percent): 98.3,cd4+ t cell purity (percent): 98.8,cd4+ t cell purity (percent): 99.3,cd4+ t cell purity (percent): 99.2,cd4+ t cell purity (percent): 99,cd4+ t cell purity (percent): 99.2
