GeneID	GSM6268574	GSM6268575	GSM6268576	GSM6268577	GSM6268578	GSM6268579	GSM6268580	GSM6268581	GSM6268582
100287102	0	0.1222	0.07839	0.1589	0.2054	0.2156	0.07456	0.07706	0
653635	31.93	33.14	30.6	30.79	28.32	27.92	31.96	31.45	31.14
102466751	31.76	29.68	20.95	21.23	26.61	34.92	32.6	31.83	33.11
107985730	0	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0.109	0	0
79501	0	0.1099	0	0	0	0	0	0	0
100996442	0.7664	1.01	0.6616	0.6167	0.6701	0.7764	0.8053	0.3642	0.7847
729737	12.1	12.81	13.51	18.2	15.66	15.97	14.04	12.44	14.15
102725121	0	0	0	0	0	0	0	0	0
102723897	35.24	35.75	30.81	33.38	31.66	31.35	34.06	34.27	32.19
102465909	15.04	16.32	17.14	23.16	13.3	15.72	23.55	20.59	27.26
107985721	0	0	0	0	0	0	0	0	0
112268260	0.06896	0.1224	0.09822	0.09952	0.06861	0.07204	0.07473	0.09654	0.1004
729759	0	0.1075	0	0	0	0	0.1312	0.1356	0
100132287	14.75	14.5	14.43	9.279	7.996	9.537	10.46	9.351	10.06
105378947	0.1455	0.08613	0.2211	0.05601	0	0	0	0	0.05652
101928626	0	0	0	0	0	0	0	0	0
113219467	283.3	302.7	295.5	434.4	446	357.9	208.2	372.9	309.6
81399	0.177	0.2095	0.08962	0.06811	0.0587	0.04109	0.1492	0.04405	0.1146
100133331	11.76	11.9	11.67	7.831	7.225	8.42	9.051	6.733	9.019
107984841	13.01	15.47	14.96	12.33	13.19	14.11	14.1	8.936	14.16
107984847	38.9	47.02	39.25	37.34	36.84	40.64	43.17	21	43.41
107984849	21.11	23.06	18.96	14.53	21.81	16.96	19.35	9.093	25.54
100288069	3.979	4.048	4.156	4.212	4.289	6.669	4.582	2.414	5.796
105378580	0.1991	0.216	0.2269	0.8684	0.4842	1.132	0.5274	0.4212	0.5413
400728	0.7601	0.7785	0.6662	0.9451	1.163	1.344	1.014	0.9168	1.635
79854	1.553	1.609	1.573	0.9964	1.631	2.434	2.244	1.16	2.916
643837	2.881	2.699	2.539	1.72	2.376	2.778	2.268	2.247	2.854
107984850	0.04632	0	0.1055	0.05348	0.2304	0	0.05019	0.1038	0
284593	0.06662	0.2366	0.1518	0.3077	0.06629	0.2088	0	0	0.2329
284600	2.386	1.805	2.081	3.027	2.169	2.555	1.884	2.244	2.197
100130417	0	0	0	0	0	0	0	0.08453	0.08793
107985728	0	0	0	0	0	0	0	0	0
148398	7.69	7.34	6.989	6.62	5.882	5.805	6.166	6.671	5.593
26155	86.7	87.8	89.81	61.45	67.72	66.11	65.67	64	68.01
339451	7.63	7.082	5.651	5.526	5.729	5.761	11.24	8.857	10.83
84069	2.015	2.066	1.908	0.2949	0.2824	0.1186	1.015	0.89	0.6944
84808	0.283	0.3349	0.1791	0.0363	0.03128	0.03285	0.3407	0.1761	0.07327
57801	95.96	94.86	104.4	28.3	26.74	31.54	109.2	121.5	106.1
