!Sample_title,Disc-HC1,Disc-HC2,Disc-HC3,Disc-HC4,Disc-HC5,Disc-HC6,Disc-HC7,Disc-HC8,Disc-nSS1,Disc-nSS2,Disc-nSS3,Disc-nSS4,Disc-nSS5,Disc-nSS6,Disc-nSS7,Disc-nSS8,Disc-nSS9,Disc-pSS1,Disc-pSS2,Disc-pSS3,Disc-pSS4,Disc-pSS5,Disc-pSS6,Disc-pSS7,Disc-pSS8,Disc-pSS9,Disc-pSS10,Disc-pSS11,Disc-pSS12,Disc-pSS13,Disc-pSS14,Repl-HC2,Repl-HC3,Repl-HC4,Repl-HC5,Repl-HC6,Repl-HC8,Repl-HC9,Repl-HC10,Repl-HC11,Repl-nSS1,Repl-nSS2,Repl-nSS3,Repl-nSS4,Repl-nSS5,Repl-nSS6,Repl-nSS7,Repl-nSS8,Repl-nSS9,Repl-nSS10,Repl-nSS11,Repl-pSS1,Repl-pSS2,Repl-pSS3,Repl-pSS4,Repl-pSS5,Repl-pSS6,Repl-pSS7,Repl-pSS8,Repl-pSS9,Repl-pSS10,Repl-pSS11
!Sample_geo_accession,GSM4024030,GSM4024031,GSM4024032,GSM4024033,GSM4024034,GSM4024035,GSM4024036,GSM4024037,GSM4024038,GSM4024039,GSM4024040,GSM4024041,GSM4024042,GSM4024043,GSM4024044,GSM4024045,GSM4024046,GSM4024047,GSM4024048,GSM4024049,GSM4024050,GSM4024051,GSM4024052,GSM4024053,GSM4024054,GSM4024055,GSM4024056,GSM4024057,GSM4024058,GSM4024059,GSM4024060,GSM4024061,GSM4024062,GSM4024063,GSM4024064,GSM4024065,GSM4024066,GSM4024067,GSM4024068,GSM4024069,GSM4024070,GSM4024071,GSM4024072,GSM4024073,GSM4024074,GSM4024075,GSM4024076,GSM4024077,GSM4024078,GSM4024079,GSM4024080,GSM4024081,GSM4024082,GSM4024083,GSM4024084,GSM4024085,GSM4024086,GSM4024087,GSM4024088,GSM4024089,GSM4024090,GSM4024091
!Sample_status,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019,Public on Sep 11 2019
!Sample_submission_date,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019,Aug 09 2019
!Sample_last_update_date,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019,Sep 11 2019
!Sample_type,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA,SRA
!Sample_channel_count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
!Sample_source_name_ch1,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells,Plasmacytoid dendritic cells
!Sample_organism_ch1,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens
!Sample_characteristics_ch1-response,group: HC,group: HC,group: HC,group: HC,group: HC,group: HC,group: HC,group: HC,group: nSS,group: nSS,group: nSS,group: nSS,group: nSS,group: nSS,group: nSS,group: nSS,group: nSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS,group: HC,group: HC,group: HC,group: HC,group: HC,group: HC,group: HC,group: HC,group: HC,group: nSS,group: nSS,group: nSS,group: nSS,group: nSS,group: nSS,group: nSS,group: nSS,group: nSS,group: nSS,group: nSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS,group: pSS
