GeneID	GSM2090431	GSM2090432	GSM2090433	GSM2090434	GSM2090435	GSM2090436	GSM2090437	GSM2090438	GSM2090439	GSM2090440	GSM2090441	GSM2090442	GSM2090443	GSM2090444	GSM2090445	GSM2090446	GSM2090447	GSM2090448
6985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6984	0	0	0	0	0	0.5336	0	0	0	0	0	0	20.36	0	0	1.306	0.707	0
6983	0	0	0	0	0	0.5249	0	0	0	0	1.203	0	1.381	0	0	0	0	0
6986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6982	3.32	1.057	4.413	1.077	0	2.171	0.5643	0.5342	0.5623	1.335	0	0.5628	2.142	3.357	4.188	0	3.595	1.222
6981	1.903	0.5302	2.213	1.08	0.5908	3.265	2.264	1.607	1.128	2.009	0	0	2.864	0.5611	0.7	0.6662	2.163	1.225
6980	0	0	1.106	0	0	0	0	0	0	0	0	0	0.7159	0.5611	0.7	0	0	0
100506776	7.736	2.874	5.054	1.41	1.483	0.9835	3.636	1.775	5.831	2.151	1.628	0.9634	8.553	6.872	14.13	7.09	7.384	6.703
6979	8.961	15.25	15.36	9.639	1.757	0	1.122	10.62	17.89	7.968	0.6185	0	3.549	13.91	29.15	16.51	0.715	1.215
6978	13.75	16.92	33.1	7	5.891	0	10.16	6.944	23.05	7.345	1.866	0	8.567	14.55	30.71	13.29	1.438	0
6977	13.28	4.758	10.48	2.692	1.767	0	3.95	1.602	14.62	4.674	2.488	0	24.99	16.78	20.94	11.29	7.19	0.6108
6976	65.45	21.68	40.82	11.85	14.14	1.628	25.96	11.75	24.74	14.69	9.33	1.689	44.98	35.25	44.67	30.56	23.01	3.665
6974	3.794	2.115	6.62	0.5385	0.5891	0	1.129	1.068	7.31	1.335	0	1.689	9.995	5.035	4.886	5.315	2.157	0.6108
6973	3.348	0.5332	4.451	1.629	1.188	1.095	1.138	0	3.97	1.347	1.255	0	1.44	2.821	4.928	2.68	0.7252	0
273	0.03005	0	0.03495	0.03411	0.03732	0.03438	0	0.06768	0.03562	0.2538	0.03941	0.107	0.04523	0.1418	0.2653	0.04208	0.0911	0.03869
340286	0.1019	0.1136	0.3557	0.3472	0	0.2333	0	0.1148	0.1209	0.1435	0.2674	0	0	0.1203	0.9002	0.7139	0.1545	0.2626
27072	33.44	36.75	33.83	42.65	37.43	23.43	39.85	43.05	34.09	35.61	39.34	36.81	27.01	27.2	26.45	30.14	38.42	28.1
11281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100689074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109616963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100861520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375238	0	0	0	0.4661	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375240	0	0	0	0	0	0	0	0	0.3011	0	0	0	0	0	0	0	0	0
57002	2.812	1.791	2.336	3.705	3.118	1.838	3.525	2.658	2.083	2.686	3.556	1.847	2.418	2.31	2.512	2.321	2.131	3.168
107986785	0.1356	0.07556	0.07884	0.1154	0.0421	0.3102	0.04033	0.1527	0.04018	0	0.0889	0.08044	0.102	0	0.04988	0.1424	0.05138	0.04365
5898	25.44	29.73	22.7	37.98	51.14	32.21	49.58	38.32	20.75	24.3	47.86	35.45	40.82	29.37	28.48	55.83	62.79	46.2
349114	1.265	1.209	0.841	1.601	0.6736	0.7446	1.979	1.751	0.6858	1.171	1.28	1.158	1.252	1.109	1.383	1.671	1.754	1.397
101928688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112267983	0.2652	0.2957	0.3085	0.3012	0.2196	0.5058	0.1052	0.3983	0.1048	0.2489	0.3479	0.1049	0.1331	0	0.1301	0.1238	0.6702	0
8621	6.837	7.405	6.56	8.103	9.069	6.625	8.705	8.543	6.74	7.33	8.418	7.564	12.86	9.689	10.92	12.7	9.254	14.3
136647	3.478	4.417	4.199	4.599	3.582	3.199	3.877	5.008	5.167	4.122	3.378	4.258	5.401	6.18	6.544	4.903	4.572	5.443
79783	0	0	0	0	0	0	0	0.02392	0	0	0	0	0	0	0.09378	0.0595	0	0
105375245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107986786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101928716	0.2223	0	0.1939	0.2524	0.4142	0.5087	0.06613	0	0.1318	0.5477	0.3644	0.06595	0	0	0	0	0	0
105375244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112267984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101928744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101928773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107986787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105379725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375247	0	0	0.01834	0	0.01959	0	0	0	0	0	0	0	0	0	0	0	0	0
107986789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3624	0.8694	0.5769	0.7464	2.726	2.468	1.682	0.1478	0.1399	0.07362	0.1166	0.3258	0.172	0.2493	0.02442	0	0.116	0.5021	0
285954	0.03711	0.04137	0.08633	0.2528	0.2766	0.1274	0	0	0	0	0	0	0	0	0	0	0	0
107986788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2737	0.1546	0.3315	0.1522	0.4727	0.2659	0.313	0.4246	0.1474	0.1269	0.1507	0.156	0.1976	0.0179	0	0	0	0	0
105375249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101928795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107986735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79020	4.038	3.159	3.049	4.545	5.676	3.04	4.51	2.992	3.276	2.842	4.646	3.615	2.399	1.671	1.772	2.133	1.987	2.828
5683	855.3	814.8	1003	979.5	888.3	725.4	983.1	860.9	981.1	907.1	961.9	939.7	217.8	305.5	263.1	242.9	279.2	267.8
64983	133.3	118.6	144.4	176.2	197.2	144.5	137.7	106.4	130	128.4	174.6	141.2	38.84	43.33	46.94	45.43	47.54	40.38
105375253	0.1702	0	0.297	0.3866	0.1057	0	0.2026	0.1438	0.4541	0.7789	0.1675	0.202	0.06406	0	0	0	0.129	0
107986790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23072	0	0	0	0.0468	0	0	0	0	0	0.01934	0	0	0	0	0	0	0	0
100127950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100500829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100506895	0	0	0	0	0	0	0	0	0	0.08106	0	0	0	0	0	0	0	0
9263	16.02	18.87	20.4	22.44	25.82	23.17	18.28	17.58	17.44	16.77	23.76	19.55	15.52	12.02	18.14	9.494	8.595	16.19
55744	4.78	4.916	5.896	5.506	5.923	4.264	5.275	4.484	5.173	4.97	5.814	4.931	5.488	5.216	6.677	4.604	5.106	6.812
644	95	99.24	96.6	115.9	115	77.39	108.9	88.15	84.72	112.4	132.1	95.72	15.29	12.69	14.07	15.23	23.73	11.23
102724946	0	0	0	0.116	0	0	0	0	0	0	0	0	0	0.1205	0	0	0	0
100534592	19.89	26.84	20.94	25.67	23.92	16.05	27.15	29	25.56	27.7	27.18	21.12	43.17	47.17	43.13	41.64	44.43	42.87
64951	22.66	31.43	24.01	30.01	27.83	18.72	30.85	34.02	29.84	32.96	31.03	24.5	50.39	55.53	50.75	47.25	52.28	49.27
55665	4.813	6.581	4.111	6.66	7.053	4.819	7.964	6.649	4.993	3.388	6.066	6.292	8.207	5.811	7.471	8.216	7.639	9.734
51619	4.273	4.505	4.387	5.638	3.251	3.523	5.542	4.638	4.29	4.01	5.099	3.791	4.983	4.631	5.042	4.367	5.427	5.651
84820	3.636	3.622	3.029	3.484	2.851	2.183	3.958	3.543	3.852	2.759	3.957	3.183	6.676	5.871	6.186	4.081	5.082	4.716
285955	0.3045	0.264	0.3542	0.5378	0.5044	0.3097	0.7247	0.3811	0.5215	0.2858	0.355	0.4015	0.2547	0.3592	0.6972	0.6635	0.513	0.3486
401331	11.55	6.986	18.42	4.245	3.688	5.41	5.495	6.068	25.42	7.74	6.057	8.22	36.91	32.17	55.02	25.26	38.17	28.6
