GeneID	GSM6855732	GSM6855733	GSM6855734	GSM6855735	GSM6855736	GSM6855737	GSM6855738	GSM6855739	GSM6855740
11119	2.857	3.074	3.172	4.051	2.926	3.707	2.92	3.165	3.98
54718	3.392	3.104	3.196	2.722	3.814	3.302	3.026	2.929	1.393
10384	4.321	4.381	3.659	4.249	4.928	3.45	3.818	4.657	5.284
11120	20.45	17.85	19.31	22.33	20.08	21.16	14.78	11.29	13.28
285819	0	0	0.1682	0.2069	0.04942	0.2647	0.1411	0.0982	0.0458
107986583	2.206	3.064	2.55	2.732	2.61	2.545	2.715	2.882	2.688
696	0	0	0.03085	0.03795	0	0.03236	0	0	0
100189288	0	0	0	0	0	0	0	0	0
493812	3.901	3.887	3.585	3.618	3.33	3.536	3.411	3.61	4.279
100189319	0	0	0	0	0	0	0	0	1.797
7231	0	0	0	0	0	0	0	0	0
100189227	0	0	0	0	0	0	0	0	0
10473	32.76	35.96	29.65	30.14	35.48	30.04	26.39	27.1	28.56
100189308	0	0	0	0	0	0	0	0	0
100189153	0	0	1.65	0	0	0	0	0	0
100189223	0	0	0	0	0	0	0	0	0
100189110	0	0	0	0	0	0	0	0	0
100189272	0	0	0	0	0	0	0	0	0
105374988	0.0927	0	0	0.05209	0	0	0.04737	0	0.04612
100189337	0	0	0	0	0	0	0	0	0
100189162	0	0	0	0	0	0	0	0	0
100189219	0	0	0	0	0	0	0	0	0
29777	10.4	13.22	12.7	14.14	13.07	14.49	13.46	13.66	11.3
105374989	0	0.03545	0	0.1264	0	0.1078	0	0.08002	0
79692	2.623	2.557	1.622	2.303	2.669	2.802	3.351	3.148	3.589
102724851	0.1481	0.2691	0.1561	0.2816	0.3912	0.1964	0.1048	0.1701	0.34
105374991	0	0	0	0	0	0	0	0.2253	0
100189303	0	0	0	0	0	0	0	0	0
100189401	0	0	0	0	0	0	0	0	0
100189391	0	0	0	0	0	0	0	0	0
100189354	0	0	0	0	0	0	0	0	0
100189372	0	0	0	0	0	0	0	0	0
107986682	0	0	0	0	0	0	0	0	0
107986683	0	0	0	0	0	0	0	0	0
105374992	0	0	0	0	0	0	0	0.2253	0
107986680	0	0	0	0	0	0	0	0	0
387036	1.225	1.053	0.3053	0.6259	0.7175	1.174	1.025	0.713	1.33
100133205	0	0	0	0	0.1469	0	0.1398	0	0
100270746	0	0	0	0	0	0	0	0	0
100189028	0	0	0	0	0	0	0	0	0
100189172	0	0	0	0	0	0	0	0	0
100189157	6.521	6.162	1.489	1.832	8.75	1.562	0	0	0
105374995	2.992	3.958	0.7652	2.421	0.2569	1.261	0.6115	0.2553	0
8970	7.225	6.041	7.616	7.183	5.668	6.125	3.124	9.486	7.466
8969	3.221	1.015	0.9808	2.413	1.441	3.858	2.195	2.291	2.137
85236	235.8	233	201.7	170.5	185.1	173.7	220.6	233.9	195.2
8294	1.084	2.049	0.66	2.436	2.715	2.77	0	0.7708	1.078
85235	0.2779	0	0	0.3123	0.2983	0	0	0.2965	0
