GeneID	GSM4552489	GSM4552490	GSM4552491	GSM4552492
56005	130.7	138	137.1	149.8
91039	34.28	33.38	49.63	51.36
100131094	5.794	5.142	10.44	9.098
105372250	0.2175	0.245	0.6628	0.7163
7197	0	0.9663	0	1.884
100189416	0.8463	0	0.8596	1.858
284424	0	0	0	0
407045	0	0	0	0
55527	20.42	20.4	21.25	22.04
148022	13.82	15.28	58.83	59.77
10226	181.6	190.2	184.6	219.1
645432	0.4643	0.4613	1.304	0.5696
29128	118.3	115	17.38	14.8
100616337	0	1.288	0	0
23030	10.84	10.97	17.88	17.02
5802	8.068	7.976	18.13	15.97
105372253	0	0	0	0
105372252	0	0	0	0
148066	0	0	0	0
257000	0.0331	0.01864	0.08405	0.0545
9667	63.37	61.66	56.82	50.1
6294	147.4	145.6	121.4	113.2
107985320	0.2287	0.1802	0.7431	0.2761
125988	45.4	43.76	39.92	49.34
374875	3.19	3.668	2.903	3.21
25873	1151	1231	579.6	699.7
9361	122.4	124.7	91.46	92.84
257062	0.03658	0.08238	0.13	0.06022
163154	10.66	10.29	9.003	6.421
56931	49.13	45.75	36.63	35
4902	1.995	1.843	0.4675	0.6175
2528	0.01578	0.01777	0.0481	0.08663
2525	0.1134	0	0.09211	0.04977
101928844	0.104	0	0.05282	0
2527	0.1554	0.06999	0.1894	0.1364
126328	57.82	68.78	47.61	57.13
400673	6.509	6.678	16.42	13.17
828	6.351	5.251	21.07	16.5
8498	49.11	49.01	39.61	43.06
100128568	1.16	0.871	2.848	0.9551
5990	15.92	15.08	27.87	26.81
105372255	0.05464	0.08204	0.1295	0.1599
81616	0.9593	0.8274	0.2488	0.4032
4298	65.46	65.48	38.6	36.51
125981	0	0	0.03594	0
8192	52.48	55.4	34.06	39.36
84266	35.05	36.96	24.19	26.25
5623	1.265	1.322	2.385	1.785
2962	115.5	118.9	140.5	156.8
102465533	0	1.054	0.9507	0
102465473	0	0	0.996	0
390877	0.8338	0.5812	0.8065	1.133
8570	367.9	370.8	200.8	207.9
100500888	226.5	210.8	114.4	121.7
284427	2.335	1.618	1.021	0.7491
79085	47.27	49.81	24.12	25
92359	0.1125	0.2533	0.2665	0.288
79958	30.57	30.31	42.76	39.88
10382	11.14	11.63	3.781	3.986
8744	27.56	26.53	6.912	9.296
970	112.7	114.6	26.71	22.21
8740	4.073	4.416	9.2	11.26
718	7.689	8.392	146.8	124.5
56927	35.87	37.89	81.24	80.15
102465474	1.844	0	1.873	6.073
9322	30.89	28.14	53.88	52.17
107985302	2.824	1.988	8.247	7.362
10045	0.7945	0.703	1.114	0.8513
7409	103.9	106.4	122.5	120.3
2015	0.0527	0.1385	0.2676	0.1928
105372256	0	0	0	0.2093
326342	1.402	1.528	53.47	39.57
497049	0.08446	0	0	0
112268245	0	0	0.01611	0.01741
729458	0	0	0	0
284428	0	0	0	0
653656	0	0	0	0
125997	0	0	0	0
653657	0	0	0	0
79230	7.724	7.647	9.316	7.83
3643	48.62	48.54	40.88	34.7
23370	22.59	23.72	18.29	16.89
107985284	2.315	2.005	0.1808	0
92960	1.748	2.106	1.9	1.716
374877	0.03656	0	0.03713	0.04013
105372261	0.5236	0.5306	1.064	1.034
140467	4.359	3.755	7.992	9.022
57192	14.17	13.42	42.58	41.13
10908	30.59	31.03	74.7	70.58
57662	7.082	6.331	4.583	3.702
102465475	0	0	0	0
56949	78.42	79.24	75.62	75.96
100131801	54.48	57.19	40.42	40.98
126006	7.866	6.812	6.557	5.144
6813	182.7	182.7	191.8	184.4
56729	0	0	0.1216	0
199675	110.3	115.8	80.21	73.36
