GeneID	GSM3098174	GSM3098175	GSM3098176	GSM3098177	GSM3098178	GSM3098179	GSM3098180	GSM3098181	GSM3098182	GSM3098183	GSM3098184	GSM3098185	GSM3098186	GSM3098187	GSM3098188	GSM3098189	GSM3098190	GSM3098191	GSM3098192	GSM3098193	GSM3098194	GSM3098195
407056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7839	0.9731	0	0.4837	0	0	0	0
2357	0	0	0	0	0	0	0	0	0	0	0.2851	5.527	0.4945	0.3946	0	8.082	0	3.369	0.49	0.9082	3.41	0
2358	0	0	0	0	0	0	0	0	0	0	0.2042	0	0	0	0	0	0	0.3712	0	0	0	0
105372448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2359	0	0	0	0	0	0	0	0	0	0	0.3095	0.2105	0.8052	0	0	0	0	0	0	0	0	0.3489
84765	0	0	0	0	0	0	0.09148	0	0	0	0	0	0	0	0.02291	0	0	0	0	0	0	0
101928571	7.824	8.296	13.78	15.65	15.17	11.22	16.7	18.52	8.662	14.26	2.904	4.938	9.234	12.5	22.34	20.8	5.387	16.28	19.41	11.82	3.859	9.277
65251	1.68	1.587	2.883	3.047	2.84	2.216	3.241	3.595	1.86	3.092	0.7036	1.077	1.83	2.353	4.836	4.181	1.077	3.117	3.829	2.428	1.402	2.677
79898	1.379	1.693	2.631	2.649	0.3713	1.419	1.962	2.176	1.145	3.269	1.329	1.197	4.204	2.525	1.689	1.358	0.3481	1.066	2.867	1.577	4.753	5.73
101669766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59348	2.734	3.357	4.168	6.785	4.154	7.503	5.529	5.11	4.992	8.561	2.22	1.931	2.264	5.782	4.616	5.849	3.342	3.619	3.515	5.337	4.424	5.741
284370	3.711	4.995	4.567	4.637	6.009	9.445	4.58	4.656	3.365	6.244	1.704	2.731	4.959	4.659	6.691	2.336	2.573	4.092	4.252	5.297	2.122	3.704
80110	0.7577	1.04	0.7326	1.027	1.786	2.079	1.094	2.11	1.332	0.8646	0.5459	0.6807	1.157	1.119	1.251	1.996	1.62	1.323	1.598	0.8372	1.33	1.641
112268244	0.7923	1.087	0.7661	1.074	1.867	2.174	1.144	2.206	1.341	0.904	0.5708	0.7117	1.21	1.17	1.183	2.088	1.694	1.383	1.599	0.8754	1.39	1.716
9668	20.42	11.86	16.05	22.37	15.92	25.24	20.58	17.93	19.76	13.97	13.26	6.97	14.99	23.63	18.27	16.48	17	17.33	11.91	24.63	19.51	23.43
284371	13.67	11.88	10.35	16.44	27.29	36.35	16.62	20.99	7.548	12.67	4.207	3.85	9.24	21.69	15.25	9.382	24.42	17.51	11.71	17.7	6.778	9.131
90317	0.9726	0.5686	2.393	1.989	2.394	1.779	2.076	2.247	0.9229	1.677	0.6303	0.7716	1.366	1.163	0.8046	3.688	1.052	0.9738	1.589	2.008	1.068	2.842
162962	26.8	19.45	21.69	21.86	25.42	24.43	20.79	20.9	16.9	18.69	26.96	18.14	25.81	26.8	24.05	25.9	30.16	25.87	23.65	19.5	19.6	26.36
5518	39.17	41.81	37.67	35.31	49.57	32.26	28.03	29.21	35.4	38.16	55.13	42.73	37.82	34.79	43.82	38.34	41.97	36.28	38.92	31.18	71.53	56.91
102466984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105372449	0.09931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90321	9.942	8.878	9.895	12.77	21.63	20.04	21.93	15.12	13.25	14.94	9.807	13.4	11.7	13.43	18.18	28.75	15.35	16.04	16.53	20.61	34.16	28.82
693228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147657	11.53	9.628	9.068	8.009	11.31	10.76	23	12.56	10.7	10.6	7.115	11.49	10.05	8.056	15.19	16.31	10.26	9.308	11.79	14.19	37.01	30.08
162963	0	0	0.07969	0.3556	0.4386	2.328	0.5071	0.723	0.07514	0	0.5542	0.3769	0	0	1.361	0.1689	0	0.9235	1.164	0.1962	0.4603	1.458
400713	2.703	2.177	3.652	4.233	3.757	4.626	3.506	3.372	0.9976	2.18	1.978	1.332	2.985	3.175	2.564	3.219	5.151	3.847	9.925	7.519	1.459	2.855
102724105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84436	0.8638	0.3535	0.821	0.6895	2.605	0.79	1.185	0.5355	0.683	0.3723	0.2799	0.1142	1.019	0.3099	0.9894	1.126	0.5607	0.8648	1.667	0.416	0	0.568
147658	0.03241	0	0	0.3735	0.9214	0.3112	0.1038	0	0.1794	0.04191	0	0.04499	0	0	0.1732	0.1613	0	0	0	0.1873	0.1319	0.1492
147660	0.3927	0.1484	0.4966	0.2849	1.015	1.036	0.3224	0.7151	0.1003	0.3516	0.37	0.08388	0.1783	0.3414	0.2422	0.639	0.7779	0.3363	0.0942	1.266	0.1639	0.2318
388558	13.92	13.31	13.12	14.86	21.97	15.07	18.03	12.61	8.178	14.06	8.133	7.73	11.61	9.088	10.91	7.898	12.76	7.667	11.4	10.03	13.74	8.372
55762	0.6199	1.078	1.213	1.137	3.438	2.906	1.268	0.9783	1.087	1.37	0.457	0.3945	0.6706	0.8756	1.346	1.575	1.8	1.757	1.45	0.8584	0.6656	1.942
7696	0	0.102	0.0975	0	0.1073	0	0	0	0	0	0	0	0	0	0	0	0.1258	0	0	0	0	0
55769	5.277	4.628	5.583	5.894	18.89	26.97	13.24	12.01	7.575	12.22	2.131	1.771	3.833	4.587	10.62	10.61	15.46	10.26	5.877	4.106	1.966	4.716
81856	7.134	6.556	6.218	9.355	17.87	16.39	12.66	14.25	8.673	15.62	3.276	2.37	4.442	8.188	3.977	11.54	9.347	6.496	9.894	5.249	6.054	5.104
105372452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105372451	0	0	0	0.5026	0.62	0	0	0.5678	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162966	28.98	22.77	25.25	34.09	70.96	92.76	38.44	23.32	14.64	48.19	9.289	5.066	19.1	17.57	13.37	17.25	49.22	31.22	10.44	13.4	21.48	26.35
7576	1.799	1.381	1.467	2.906	5.555	4.629	3.067	3.461	1.024	2.941	0.3401	1.006	1.003	1.098	4.843	5.815	3.444	2.565	1.013	2.564	1.152	3.221
90333	3.929	4.558	3.7	5.247	10.04	11.14	9.952	8.329	6.261	6.923	3.525	1.858	5.044	5.366	7.327	3.975	8.893	6.995	6.731	9.357	7.319	12.78
162967	0.2659	0.4135	0.4578	0.5757	0.9621	0.7538	1.173	0.6923	0.3532	0.4813	0.04824	0.1476	0.3974	0.4228	0.45	0.419	0.4295	0.548	0.8843	0.4098	0.1202	0.4623
388559	0.7918	1.033	2.208	0.9852	2.942	3.463	2.271	1.933	0.6027	0.768	0.7409	0.2748	0.7009	1.305	1.323	0.8621	1.949	1.469	0.5401	1.359	0.2685	1.519
100529240	3.464	3.402	5.874	6.371	5.571	7.075	5.421	5.739	4.772	3.882	1.047	1.923	5.087	4.735	2.983	2.777	2.332	3.046	2.88	5.227	1.566	6.968
399669	0	0	0.1038	0.0926	0.2284	0.2425	0.1886	0.2092	0.09784	0.1143	0	0	0	0.111	0.3543	0.11	0	0.2186	0	0	0	0.1356
125893	3.418	3.357	5.796	6.286	5.3	6.773	5.269	5.573	4.624	3.83	1.034	1.898	5.019	4.672	2.639	2.646	2.301	2.912	2.842	5.158	1.545	6.875
79986	0	0	0.4849	0	0.4448	0.1889	0.1469	0	0	0	0	0	0.4874	0.6913	0.09198	0	0.1042	0.2554	0.6439	0	0.28	0
105372453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147664	0	0	0	0.08679	0	0	0	0.1961	0.8254	0	0	0	0	0	0.4428	0	0	0.4098	0	0.1197	0	0
