GeneID	GSM7113703	GSM7113704	GSM7113705	GSM7113706	GSM7113707	GSM7113709	GSM7113710	GSM7113711	GSM7113713	GSM7113714	GSM7113716	GSM7113717	GSM7113718
65010	22.4	22.75	33.92	21.48	30.89	6.41	7.926	7.273	13.86	14.48	14.67	33.04	39.03
102465495	1.8	0	1.692	3.039	2.436	0	3.193	0	0	0	0	3.624	11.48
1951	0.04751	0.1705	0.2233	0.1604	0.3472	0.0739	0.2529	0.1036	0.2091	0.1197	0.08404	0.574	5.138
100616112	0	1.169	0	0	0	0	1.156	0	1.304	1.263	1.153	0	8.316
102724368	0	0	0	0	0	0	0.4931	0	0	0	0.4916	0	0.8866
51517	9.556	13.63	12.9	12.68	16	8.213	9.688	10.25	12.08	11.78	12.07	5.264	21.28
51447	8.946	9.672	9.095	9.208	9.935	6.994	10.42	8.229	10.79	10.25	10.29	17.36	24.98
5576	32.58	32.28	33.82	35.4	29.42	21.59	26.57	22.31	35.48	33.06	30.66	25.9	57.48
100506637	0.6539	0.8506	0.7989	0.6349	0.6638	1.017	0.6091	0.4277	0.8176	1.204	0.9543	0.4937	1.043
788	53.38	46.86	41.12	49.16	47.21	39.3	38.47	50.05	32.09	28.25	36.83	68.44	47.51
646450	0.9933	0.8912	1	0.6589	1.441	1.104	1.196	2.784	1.278	0.6878	0.9413	2.857	1.698
10425	11.8	10.66	10.92	11.69	10.5	12.3	15.44	13.55	12.27	11.75	11.07	25.86	24.36
54681	11.45	12.54	14.49	11.64	19.46	8.29	8.752	10.86	12.1	12.88	16.09	13.73	15.58
11180	54.75	41.69	40.48	60.02	56.42	25.06	48.15	39.78	51.63	44.81	54.96	53.62	87.54
55152	21.89	18.6	20.32	19.35	20.26	11.34	13.59	11.98	17.97	22.08	21.1	23.84	31.86
494337	1.303	0	0	1.1	0	0	0	0	0	0	0	0	6.237
25915	43.03	46.62	47.35	50.09	66.61	50.04	42.69	53.19	45.47	45.27	56.76	32.89	73.84
406966	0	0	0	0	0	0	0	0	0	0	0	0	3.932
3615	53.11	63.63	83.35	67.35	62.12	38.88	36.4	34.31	59.09	70.55	59.93	68.27	208.9
54870	32.66	36.23	29.27	41.31	31.16	27.43	42.59	31.44	39.11	36.13	30.8	55.21	68.47
5859	175.6	161	200	173.6	156.6	140.7	140	137	160.2	187.7	161.7	266	283
102465536	0	0	0	0	0	0	0	0	1.859	0	0	1.871	2.965
10869	19.5	20.64	17.64	25.09	22.18	15.21	25.15	19.79	23.18	20.03	18.84	37.58	46.41
3913	26.6	14.58	44.19	19.59	30.54	17.59	9.815	14.38	16.08	45.96	22.56	10.02	2.345
22973	0.147	0.2637	0.4144	0.2482	0.1989	0.07144	0.5867	0.0801	0.294	0.2137	0.195	2.663	3.517
64925	17.85	18.69	16.01	19.24	24.08	18.22	22.74	26.22	19.32	17.49	19.04	16.51	32.82
200942	20.08	17.52	18.23	25.83	22.2	23.35	36.38	37.25	27.29	28.68	29.86	14.1	9.181
646498	0	0	0	0	0	0	0	0	0	0	0	0	0
339834	0.02889	0	0	0.0244	0	0	0.05127	0	0	0.05602	0	0.08727	0.04609
375341	2.934	3.202	2.332	4.163	2.006	2.882	6.548	3.792	4.902	4.281	2.676	16.33	8.542
100422952	3.385	3.036	3.181	4.286	2.29	4.936	4.504	11.07	6.771	4.921	7.484	15.33	5.399
7375	41.01	39.04	43.14	40.74	37.87	45.58	44	44.45	42.83	46.28	40.59	76.55	72.14
107986084	0.7239	0.4871	1.106	1.452	1.347	1.759	2.408	2.762	1.901	2.631	1.521	16.31	7.218
2876	328.3	325.9	306.1	340	400.3	354.5	330.8	417	372.5	392.7	383.5	318.7	462.9
387	1165	1048	1062	999	1113	1136	883	1079	1003	1046	1217	1184	1199
6988	44.84	43.21	32.91	35.71	35.17	30.24	35.56	29.01	36.61	29.89	33.07	31.9	37.41
275	2.158	2.802	3.148	2.684	2.305	0.7175	2.317	1.424	2.669	2.256	1.657	16.58	6.34
84276	11.28	10.53	10.7	11.72	12.08	8.642	9.849	9.767	10.19	11.34	10.07	12.91	13.62
